GroupID,membershiptypeID,transactionprice,transactionpurchasedate,membershiptype
16922,5485ccc5-c501-4c03-82d3-94531eaabd11,£9.99,6/9/14 0:00,2014/15 CRAZEE'S CREW (8-12YRS)
16922,fb7f418c-9199-4fe3-915f-2db2b2f5da69,£15.00,7/5/11 0:00,2011/12 JUNIOR BLUES - NON SEASON TICKET
18181,467a8775-c919-ef11-8444-84857200de01,£34.99,7/19/24 16:59,2024/25 Super Blues Membership
18181,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/13/23 12:22,2023/24 Super Blues Membership
18181,bcd91c0e-35c6-ec11-8396-e571432a47fd,£19.99,6/23/22 9:38,2022/23 - Gold Membership
19996,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 13:23,2024/25 Super Blues Membership
19996,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/13/23 18:57,2023/24 Super Blues Membership
27424,a2f1b3bd-0a9d-eb11-82e4-d73c58c895cf,£29.99,11/13/21 11:35,2021/22 - Silver Membership (Non S/T Holders)
27486,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 12:35,2024/25 Super Blues Membership
27486,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/13/23 17:56,2023/24 Super Blues Membership
28343,467a8775-c919-ef11-8444-84857200de01,£34.99,7/18/24 10:07,2024/25 Super Blues Membership
30148,106fd413-fe32-ef11-84a5-cf1b953dd601,£30.99,8/5/24 11:21,2024/25 Junior Blues Membership (5-9 years)
30148,67b13ee6-d9f3-ed11-8444-9dac666fbcef,£27.50,7/21/23 16:04,2023/24 Junior Blues (5-9 Years) Non ST Holder
30148,e4b09f05-70d0-ec11-8396-cad39b5c82da,£20.00,3/29/23 12:34,2022/23 Junior Blues Membership (5-9 years) - Non ST Holder GOODY PACK ONLY
30148,73ab074e-0ea4-eb11-82e4-d73c58c895cf,£15.00,8/6/21 11:31,2021/22 Junior Blues Membership (Non S/T Holders)
31190,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 18:28,2024/25 Super Blues Membership
31190,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/13/23 10:05,2023/24 Super Blues Membership
34192,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/15/23 10:10,2023/24 Super Blues Membership
34192,bcd91c0e-35c6-ec11-8396-e571432a47fd,£19.99,10/6/22 11:08,2022/23 - Gold Membership
36826,467a8775-c919-ef11-8444-84857200de01,£39.99,7/19/24 18:42,2024/25 Super Blues Membership
36826,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,8/8/23 12:26,2023/24 Super Blues Membership
38388,467a8775-c919-ef11-8444-84857200de01,£39.99,7/17/24 13:13,2024/25 Super Blues Membership
38388,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,8/1/23 19:05,2023/24 Super Blues Membership
39711,467a8775-c919-ef11-8444-84857200de01,£39.99,7/18/24 13:36,2024/25 Super Blues Membership
39711,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,8/13/23 19:36,2023/24 Super Blues Membership
40867,467a8775-c919-ef11-8444-84857200de01,£34.99,7/16/24 16:19,2024/25 Super Blues Membership
40867,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/15/23 17:50,2023/24 Super Blues Membership
40867,bcd91c0e-35c6-ec11-8396-e571432a47fd,£19.99,5/30/22 12:45,2022/23 - Gold Membership
40867,8dbc7499-0a9d-eb11-82e4-d73c58c895cf,£19.99,7/17/21 9:44,2021/22 - Gold Membership (S/T Holders)
40867,c7c7e8c9-e063-44cb-95ee-7115247c69e0,£19.99,8/2/19 0:00,2019/20 GOLD MEMBERSHIP(S/T HOLDERS)
43135,467a8775-c919-ef11-8444-84857200de01,£34.99,7/21/24 10:37,2024/25 Super Blues Membership
43135,67e707f0-dae7-4321-9e85-142a9aa64ecf,£15.00,4/26/11 0:00,2011/12 GOLD CLUB MEMBERSHIP
43135,0b7ab9cb-1f51-4747-9fde-d21432da623b,£15.00,4/6/10 0:00,2010/11 GOLD CLUB MEMBERSHIP
43135,05b20ac3-a15a-ed11-83d1-e74778795d1e,£0.00,11/2/22 12:07,#PackOutPR 2022
51034,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 12:07,2024/25 Super Blues Membership
51034,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,8/15/23 0:13,2023/24 Super Blues Membership
58967,fcfa9978-d219-ef11-8444-84857200de01,£34.99,7/17/24 14:09,2024/25 International Blues Membership
58967,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,8/13/23 20:57,2023/24 Super Blues Membership
58967,8afb6d4f-30c6-ec11-8396-e571432a47fd,£29.99,6/29/22 11:19,2022/23 - Silver Membership
58967,a2f1b3bd-0a9d-eb11-82e4-d73c58c895cf,£29.99,6/30/21 16:21,2021/22 - Silver Membership (Non S/T Holders)
58967,c5ca7573-6d6a-4721-a2a7-d31f58c2ef9d,£29.99,7/12/19 0:00,2019/20 SILVER MEMBERSHIP (NON S/T)
58967,743445c8-3fca-445e-b77a-429c338ea904,£29.99,7/18/18 0:00,2018/19 SILVER MEMBERSHIP (NON S/T)
58967,c209c57c-8afe-4262-8f7a-21409ac8eb9d,£29.99,8/7/17 0:00,2017/18 SILVER MEMBERSHIP (NON S/T)
58967,e9991286-ec36-4a40-9b48-0efa41f9b936,£29.99,7/26/16 0:00,2016/17 SILVER MEMBERSHIP (NON S/T)
58967,4f9de90d-c188-4139-9171-fe6bdf90d775,£29.99,9/8/15 0:00,2015/16 SILVER MEMBERSHIP (NON S/T)
58967,0db5795e-caa9-433c-be9c-09d5dd9e03de,£29.99,7/16/14 0:00,2014/15 SILVER MEMBERSHIP (NON S/T)
58967,32999855-48d4-4942-8cd3-c91e04f128bc,£25.00,11/14/13 0:00,2013/14 SILVER MEMBERSHIP
58967,153b691d-22cf-413f-8250-b8ab74f5db80,£25.00,2/2/13 0:00,2012/13 SILVER MEMBERSHIP
58967,f59a01be-9602-4fb7-95b1-f6f5b7c80f6c,£25.00,7/27/11 0:00,2011/12 SILVER CLUB MEMBERSHIP
58967,2ce813f9-8818-4928-af89-4d9daa60285b,£25.00,8/6/10 0:00,2010/11 SILVER CLUB MEMBERSHIP
60812,467a8775-c919-ef11-8444-84857200de01,£39.99,12/21/24 12:06,2024/25 Super Blues Membership
60812,ab32d41f-2c94-4e49-afa5-8307516d0f1b,£14.95,8/28/15 0:00,2015/16 JUNIOR BLUES (5-12YRS)
60812,5485ccc5-c501-4c03-82d3-94531eaabd11,£9.99,9/13/14 0:00,2014/15 CRAZEE'S CREW (8-12YRS)
60812,96a86ce4-9ebe-49cd-aef2-0585e4fe297a,£7.50,1/3/14 0:00,2013/14 JUNIOR BLUES - SEASON TICKET
