GroupID,orderID,transactionpurchasedate,ordervalue,
1340324,11677321199996,3/18/25 10:32, £	93.00 ,
100000603,5608078049571,11/14/23 9:02, £	36.00 ,
100000603,ITFC-000051997,11/28/20 11:45, £	40.80 ,
100000603,11973335187836,6/26/25 22:55, £	58.00 ,
100000603,ITFC-000083323,11/26/21 16:54, £	99.00 ,
100000603,6113969471779,8/3/24 12:04, £	192.00 ,
100001211,5828200694051,5/3/24 11:18, £	10.00 ,
100001211,6009185894691,7/6/24 10:31, £	122.00 ,
100001232,5618188058915,11/23/23 10:50, £	30.00 ,
100001232,ITFC-000087021,12/13/21 19:06, £	32.00 ,
100001232,ITFC-000017820,7/2/19 19:18, £	42.00 ,
100001232,ITFC-000037536,7/1/20 19:18, £	44.00 ,
100001232,ITFC-000068502,7/2/21 13:39, £	47.00 ,
100001232,ITFC-000085685,12/7/21 9:42, £	49.00 ,
100001232,ITFC-000075676,9/14/21 15:11, £	52.00 ,
100001232,5343071699235,7/1/23 10:19, £	55.00 ,
100001795,ITFC-000144441,4/26/23 7:37, £	35.00 ,
100001795,6009130778915,7/6/24 10:12, £	63.00 ,
100004460,5830681985315,5/5/24 13:09, £	10.00 ,
100004460,ITFC-000000994,5/5/18 8:31, £	20.00 ,
100004460,ITFC-000009564,11/24/18 9:13, £	37.75 ,
100004460,6134697754915,8/9/24 12:14, £	42.00 ,
100004460,ITFC-000139472,2/3/23 16:22, £	56.00 ,
100004460,5585779654947,10/28/23 10:55, £	83.00 ,
100004460,5644092932387,12/10/23 18:34, £	97.50 ,
100004460,5343016124707,7/1/23 9:04, £	133.00 ,
100004460,11336437858684,12/7/24 21:52, £	140.00 ,
100004460,5583446343971,10/25/23 22:09, £	150.00 ,
100007906,ITFC-000132900,12/8/22 17:26, £	20.00 ,
100007906,ITFC-000084799,12/2/21 14:05, £	24.00 ,
100007906,5753339183395,2/26/24 13:22, £	66.50 ,
100007906,5600676610339,11/9/23 8:06, £	74.00 ,
100008069,11614631887228,2/22/25 18:22, £	33.00 ,
